Year,City,Sport,Athlete,Country,Medal
1896,ATHENS,Aquatics,HAJOS Alfred,HUN,GOLD
1896,ATHENS,Aquatics,HERSCHMANN Otto,AUT,SILVER
1896,ATHENS,Aquatics,DRIVAS Dimitrios,GRE,BRONZE
1896,ATHENS,Aquatics,MALOKINIS Ioannis,GRE,GOLD
1896,ATHENS,Aquatics,CHASAPIS Spiridon,GRE,SILVER
1896,ATHENS,Aquatics,CHOROPHAS Efstathios,GRE,BRONZE
1896,ATHENS,Aquatics,HAJOS Alfred,HUN,GOLD
1896,ATHENS,Aquatics,ANDREOU Joannis,GRE,SILVER
1896,ATHENS,Aquatics,CHOROPHAS Efstathios,GRE,BRONZE
1896,ATHENS,Aquatics,NEUMANN Paul,AUT,GOLD
1896,ATHENS,Aquatics,PEPANOS Antonios,GRE,SILVER
1896,ATHENS,Athletics,LANE Francis,USA,BRONZE
1896,ATHENS,Athletics,SZOKOLYI Alajos,HUN,BRONZE
1896,ATHENS,Athletics,BURKE Thomas,USA,GOLD
1896,ATHENS,Athletics,HOFMANN Fritz,GER,SILVER
1896,ATHENS,Athletics,CURTIS Thomas,USA,GOLD
1896,ATHENS,Athletics,GOULDING Grantley,GBR,SILVER
1896,ATHENS,Athletics,LERMUSIAUX Albin,FRA,BRONZE
1896,ATHENS,Athletics,FLACK Edwin,AUS,GOLD
1896,ATHENS,Athletics,BLAKE Arthur,USA,SILVER
1896,ATHENS,Athletics,GMELIN Charles,GBR,BRONZE
1896,ATHENS,Athletics,BURKE Thomas,USA,GOLD
1896,ATHENS,Athletics,JAMISON Herbert,USA,SILVER
1896,ATHENS,Athletics,GOLEMIS Dimitrios,GRE,BRONZE
1896,ATHENS,Athletics,FLACK Edwin,AUS,GOLD
1896,ATHENS,Athletics,DANI Nandor,HUN,SILVER
1896,ATHENS,Athletics,VERSIS Sotirios,GRE,BRONZE
1896,ATHENS,Athletics,GARRETT Robert,USA,GOLD
1896,ATHENS,Athletics,PARASKEVOPOULOS Panagiotis,GRE,SILVER
1896,ATHENS,Athletics,CLARK Ellery,USA,GOLD
1896,ATHENS,Athletics,CONNOLLY James,USA,SILVER
1896,ATHENS,Athletics,GARRETT Robert,USA,SILVER
1896,ATHENS,Athletics,CONNOLLY James,USA,BRONZE
1896,ATHENS,Athletics,CLARK Ellery,USA,GOLD
1896,ATHENS,Athletics,GARRETT Robert,USA,SILVER
1896,ATHENS,Athletics,KELLNER Gyula,HUN,BRONZE
1896,ATHENS,Athletics,LOUIS Spyridon,GRE,GOLD
1896,ATHENS,Athletics,VASILAKOS Kharilaos,GRE,SILVER
1896,ATHENS,Athletics,DAMASKOS Evangelos,GRE,BRONZE
1896,ATHENS,Athletics,THEODOROPOULOS Ioannis,GRE,BRONZE
1896,ATHENS,Athletics,HOYT William Welles,USA,GOLD
1896,ATHENS,Athletics,TYLER Albert,USA,SILVER
1896,ATHENS,Athletics,PAPASIDERIS Georgios,GRE,BRONZE
1896,ATHENS,Athletics,GARRETT Robert,USA,GOLD
1896,ATHENS,Athletics,GOUSKOS Miltiadis,GRE,SILVER
1896,ATHENS,Athletics,PERSAKIS Ioannis,GRE,BRONZE
1896,ATHENS,Athletics,CONNOLLY James,USA,GOLD
1896,ATHENS,Athletics,TUFFERI Alexandre,FRA,SILVER
1896,ATHENS,Cycling,BATTEL Edward,GBR,BRONZE
1896,ATHENS,Cycling,KONSTANTINIDIS Aristidis,GRE,GOLD
1896,ATHENS,Cycling,GOEDRICH August,GER,SILVER
1896,ATHENS,Cycling,FLAMENG Léon,FRA,GOLD
1896,ATHENS,Cycling,KOLETTIS Georgios,GRE,SILVER
